city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time,i_max,seed
SB,8,3,6,3368,6303,0.0,5.208,488,129,0.0,4.627,"[30.0, 750.0, 390.0, 750.0]",2255397145002554746
SB,9,3,6,3368,6303,0.0,4.781,488,129,0.0,6.238,"[1110.0, 210.0, 390.0, 390.0]",9126193291883896197
SB,10,3,6,3368,6303,0.0,9.881,488,129,0.0,11.514,"[210.0, 750.0, 210.0, 390.0]",4584935568729072461
SB,1,4,4,2994,5204,146.17,151.729,434,116,146.17,191.487,"[750.0, 390.0, 30.0, 30.0]",3247745194313606901
SB,2,4,4,2994,5204,136.75,106.904,434,116,136.75,462.861,"[210.0, 570.0, 30.0, 390.0]",1229159992315688826
SB,3,4,4,2994,5204,116.31,41.699,434,116,116.31,459.279,"[390.0, 390.0, 30.0, 570.0]",2397249385237905256
SB,4,4,4,2994,5204,137.88,76.098,434,116,137.88,195.511,"[750.0, 210.0, 210.0, 390.0]",7061086516450819327
SB,5,4,4,2994,5204,102.37,188.553,434,116,102.37,505.167,"[30.0, 210.0, 30.0, 390.0]",5352818563267364125
SB,6,4,4,2994,5204,0.0,8.636,434,116,0.0,4.57,"[30.0, 210.0, 30.0, 390.0]",2331531793168685323
SB,7,4,4,2994,5204,133.33,385.522,434,116,133.33,1232.227,"[750.0, 570.0, 570.0, 390.0]",1453326477118389252
SB,8,4,4,2994,5204,144.47,92.215,434,116,144.47,130.139,"[210.0, 30.0, 30.0, 390.0]",5565595202906063356
SB,9,4,4,2994,5204,119.32,35.475,434,116,119.32,139.013,"[570.0, 390.0, 390.0, 570.0]",8465017315257749258
SB,10,4,4,2994,5204,82.5,135.654,434,116,82.5,191.034,"[570.0, 570.0, 30.0, 390.0]",1696422164659487797
SB,1,5,3,2807,4504,257.47,25.853,407,109,257.47,557.572,"[30.0, 930.0, 390.0, 390.0]",8080633493858319835
SB,2,5,3,2807,4504,653.79,55.263,407,109,653.79,919.474,"[30.0, 30.0, 30.0, 390.0]",8503294527413638515
SB,3,5,3,2807,4504,175.86,8.483,407,109,175.86,12.47,"[30.0, 390.0, 390.0, 570.0]",2856957441199018481
SB,4,5,3,2807,4504,116.71,11.207,407,109,116.71,24.621,"[570.0, 570.0, 210.0, 570.0]",2007634597214965533
SB,5,5,3,2807,4504,262.5,5.331,407,109,262.5,19.765,"[30.0, 210.0, 30.0, 390.0]",1372375968835239638
SB,6,5,3,2807,4504,144.47,9.342,407,109,144.47,18.195,"[570.0, 570.0, 390.0, 210.0]",3676703008327540732
SB,7,5,3,2807,4504,144.47,10.618,407,109,144.47,79.0,"[750.0, 570.0, 570.0, 210.0]",6081223743959941634
SB,8,5,3,2807,4504,300.04,69.827,407,109,300.04,137.728,"[390.0, 210.0, 210.0, 210.0]",3076328445661096433
SB,9,5,3,2807,4504,145.27,10.731,407,109,145.27,16.636,"[30.0, 390.0, 210.0, 390.0]",1928553693981202000
SB,10,5,3,2807,4504,138.58,5.248,407,109,138.58,10.256,"[210.0, 570.0, 30.0, 390.0]",5969686245000248064
SB,1,6,2,2246,3006,1200.04,2.671,326,90,1200.04,2.174,"[30.0, 390.0, 210.0, 210.0]",4458323710213053345
SB,2,6,2,2246,3006,1037.54,1.938,326,90,1037.54,1.434,"[570.0, 750.0, 30.0, 210.0]",5186576358513947270
SB,3,6,2,2246,3006,1221.86,7.402,326,90,1221.86,12.949,"[930.0, 570.0, 570.0, 210.0]",6799027473812535236
SB,4,6,2,2246,3006,853.22,0.923,326,90,853.22,1.245,"[750.0, 390.0, 30.0, 570.0]",4137186561670108332
SB,5,6,2,2246,3006,1020.04,4.309,326,90,1020.04,3.356,"[30.0, 570.0, 210.0, 210.0]",3654123121274628714
SB,6,6,2,2246,3006,853.22,2.327,326,90,853.22,1.102,"[30.0, 750.0, 390.0, 30.0]",5821091439520797632
SB,7,6,2,2246,3006,857.54,1.844,326,90,857.54,0.922,"[30.0, 750.0, 390.0, 750.0]",5605112295880092954
SB,8,6,2,2246,3006,1041.86,4.767,326,90,1041.86,1.425,"[30.0, 210.0, 570.0, 750.0]",4640396534914836520
SB,9,6,2,2246,3006,683.56,3.447,326,90,683.56,1.617,"[750.0, 210.0, 210.0, 390.0]",2439527285470733825
